Filter,Date,Description,Sub-description,Type of Transaction,Amount,Balance
"All available transactions (up to 2 years), From date=2024-03-21","2026-03-20","withdrawal","Free Interac E-Transfer ","Debit","-150.00","7123.64"
"","2026-03-20","withdrawal","Free Interac E-Transfer ","Debit","-43.18","7273.64"
"","2026-03-20","deposit","Free Interac E-Transfer ","Credit","12.50","7316.82"
"","2026-03-20","payroll deposit","Marvell Semiconductor ","Credit","1293.73","7304.32"
"","2026-03-19","deposit","Free Interac E-Transfer ","Credit","12.00","6010.59"
"","2026-03-19","withdrawal","Free Interac E-Transfer ","Debit","-41.55","5998.59"
"","2026-03-14","pos purchase","Opos Taptap Send Canada  Toron ","Debit","-1000.00","6040.14"
"","2026-03-11","withdrawal","Free Interac E-Transfer ","Debit","-36.40","7040.14"
"","2026-03-11","pos purchase","Opos Taptap Send Canada  Toron ","Debit","-277.78","7076.54"
"","2026-03-11","pos purchase","Opos Taptap Send Canada  Toron ","Debit","-266.67","7354.32"
"","2026-03-11","pos purchase","Opos Taptap Send Canada  Toron ","Debit","-277.78","7620.99"
"","2026-03-11","pos purchase","Opos Taptap Send Canada  Toron ","Debit","-1000.00","7898.77"
"","2026-03-06","payroll deposit","Marvell Semiconductor ","Credit","1318.08","8898.77"
"","2026-03-05","withdrawal","Free Interac E-Transfer ","Debit","-3.50","7580.69"
"","2026-03-05","withdrawal","Free Interac E-Transfer ","Debit","-2500.00","7584.19"
"","2026-03-04","deposit","Free Interac E-Transfer ","Credit","1000.00","10084.19"
"","2026-03-02","deposit","Free Interac E-Transfer ","Credit","997.00","9084.19"
"","2026-03-02","withdrawal","Free Interac E-Transfer ","Debit","-2500.00","8087.19"
"","2026-03-02","withdrawal","Free Interac E-Transfer ","Debit","-7.00","10587.19"
"","2026-03-02","withdrawal","Free Interac E-Transfer ","Debit","-3000.00","10594.19"
"","2026-02-27","withdrawal","Free Interac E-Transfer ","Debit","-5.00","13594.19"
"","2026-02-25","withdrawal","Free Interac E-Transfer ","Debit","-5.00","13599.19"
"","2026-02-24","withdrawal","Free Interac E-Transfer ","Debit","-10.00","13604.19"
"","2026-02-24","withdrawal","Free Interac E-Transfer ","Debit","-6.00","13614.19"
"","2026-02-23","deposit","Free Interac E-Transfer ","Credit","164.80","13620.19"
"","2026-02-23","deposit","Free Interac E-Transfer ","Credit","157.26","13455.39"
"","2026-02-20","payroll deposit","Marvell Semiconductor ","Credit","1318.08","13298.13"
"","2026-02-19","withdrawal","Free Interac E-Transfer ","Debit","-134.78","11980.05"
"","2026-02-13","bill payment","Mb-Td Visa 57459647","Debit","-1000.00","12114.83"
"","2026-02-12","miscellaneous payment","Goodlife Fitness Centres Inc ","Debit","-45.19","13114.83"
"","2026-02-09","withdrawal","Free Interac E-Transfer ","Debit","-7.91","13160.02"
"","2026-02-09","withdrawal","Free Interac E-Transfer ","Debit","-39.58","13167.93"
"","2026-02-06","payroll deposit","Marvell Semiconductor ","Credit","1318.08","13207.51"
"","2026-02-05","withdrawal","Free Interac E-Transfer ","Debit","-45.00","11889.43"
"","2026-02-04","withdrawal","Free Interac E-Transfer ","Debit","-35.17","11934.43"
"","2026-02-04","deposit","Free Interac E-Transfer ","Credit","23.00","11969.60"
"","2026-02-03","pos purchase","Opos Taptap Send Canada  833-3 ","Debit","-1000.00","11946.60"
"","2026-02-02","deposit","Free Interac E-Transfer ","Credit","1932.08","12946.60"
"","2026-02-02","withdrawal","Free Interac E-Transfer ","Debit","-3000.00","11014.52"
"","2026-02-02","deposit","Free Interac E-Transfer ","Credit","250.00","14014.52"
"","2026-02-02","deposit","Free Interac E-Transfer ","Credit","1000.00","13764.52"
"","2026-01-29","miscellaneous payment","Goodlife Fitness Centres Inc ","Debit","-45.19","12764.52"
"","2026-01-26","pos purchase","Fpos Sobeys #4016        Kanat ","Debit","-16.27","12809.71"
"","2026-01-26","deposit","Free Interac E-Transfer ","Credit","200.00","12825.98"
"","2026-01-23","withdrawal","Free Interac E-Transfer ","Debit","-12.00","12625.98"
"","2026-01-23","payroll deposit","Marvell Semiconductor ","Credit","1318.08","12637.98"
"","2026-01-22","withdrawal","Free Interac E-Transfer ","Debit","-500.00","11319.90"
"","2026-01-20","withdrawal","Free Interac E-Transfer ","Debit","-167.76","11819.90"
"","2026-01-20","bill payment","Mb-Td Visa 98125728","Debit","-250.00","11987.66"
"","2026-01-19","withdrawal","Free Interac E-Transfer ","Debit","-32.39","12237.66"
"","2026-01-17","deposit","Free Interac E-Transfer ","Credit","30.00","12270.05"
"","2026-01-15","miscellaneous payment","Goodlife Fitness Centres Inc ","Debit","-45.19","12240.05"
"","2026-01-14","withdrawal","Free Interac E-Transfer ","Debit","-31.13","12285.24"
"","2026-01-12","deposit","Free Interac E-Transfer ","Credit","23.00","12316.37"
"","2026-01-12","deposit","Free Interac E-Transfer ","Credit","23.00","12293.37"
"","2026-01-10","withdrawal","Free Interac E-Transfer ","Debit","-48.00","12270.37"
"","2026-01-09","bill payment","Mb-Td Visa 75256306","Debit","-1500.00","12318.37"
"","2026-01-09","payroll deposit","Marvell Semiconductor ","Credit","1319.62","13818.37"
"","2026-01-02","investment","Wealthsimple Investments Inc. ","Debit","-4000.00","12498.75"
"","2026-01-02","miscellaneous payment","Goodlife Fitness Centres Inc ","Debit","-45.19","16498.75"
"","2026-01-02","deposit","Free Interac E-Transfer ","Credit","1000.00","16543.94"
"","2025-12-31","withdrawal","Free Interac E-Transfer ","Debit","-3000.00","15543.94"
"","2025-12-30","withdrawal","Free Interac E-Transfer ","Debit","-29.56","18543.94"
"","2025-12-29","withdrawal","Free Interac E-Transfer ","Debit","-36.13","18573.50"
"","2025-12-27","withdrawal","Free Interac E-Transfer ","Debit","-47.68","18609.63"
"","2025-12-24","withdrawal","Free Interac E-Transfer ","Debit","-31.58","18657.31"
"","2025-12-24","withdrawal","Free Interac E-Transfer ","Debit","-31.17","18688.89"
"","2025-12-24","payroll deposit","Marvell Semiconductor ","Credit","2115.54","18720.06"
"","2025-12-22","withdrawal","Free Interac E-Transfer ","Debit","-43.00","16604.52"
"","2025-12-20","withdrawal","Free Interac E-Transfer ","Debit","-32.41","16647.52"
"","2025-12-19","bill payment","Mb-Td Visa 24491021","Debit","-2000.00","16679.93"
"","2025-12-18","miscellaneous payment","Goodlife Fitness Centres Inc ","Debit","-45.19","18679.93"
"","2025-12-18","withdrawal","Free Interac E-Transfer ","Debit","-1000.00","18725.12"
"","2025-12-16","withdrawal","Free Interac E-Transfer ","Debit","-317.36","19725.12"
"","2025-12-16","withdrawal","Free Interac E-Transfer ","Debit","-31.79","20042.48"
"","2025-12-15","withdrawal","Free Interac E-Transfer ","Debit","-400.00","20074.27"
"","2025-12-13","withdrawal","Free Interac E-Transfer ","Debit","-41.00","20474.27"
"","2025-12-13","correction","Interac E-Transfer Rtn ","Credit","41.00","20515.27"
"","2025-12-13","withdrawal","Free Interac E-Transfer ","Debit","-41.00","20474.27"
"","2025-12-12","payroll deposit","Marvell Semiconductor ","Credit","2153.58","20515.27"
"","2025-12-10","withdrawal","Free Interac E-Transfer ","Debit","-47.33","18361.69"
"","2025-12-10","withdrawal","Free Interac E-Transfer ","Debit","-1000.00","18409.02"
"","2025-12-08","withdrawal","Free Interac E-Transfer ","Debit","-43.84","19409.02"
"","2025-12-08","deposit","Free Interac E-Transfer ","Credit","23.76","19452.86"
"","2025-12-08","deposit","Free Interac E-Transfer ","Credit","23.76","19429.10"
"","2025-12-08","withdrawal","Free Interac E-Transfer ","Debit","-31.17","19405.34"
"","2025-12-06","withdrawal","Free Interac E-Transfer ","Debit","-31.45","19436.51"
"","2025-12-04","miscellaneous payment","Goodlife Fitness Centres Inc ","Debit","-45.19","19467.96"
"","2025-12-04","withdrawal","Free Interac E-Transfer ","Debit","-1000.00","19513.15"
"","2025-12-03","deposit","Free Interac E-Transfer ","Credit","822.09","20513.15"
"","2025-12-03","deposit","Free Interac E-Transfer ","Credit","1048.26","19691.06"
"","2025-12-03","deposit","Free Interac E-Transfer ","Credit","5.00","18642.80"
"","2025-12-02","withdrawal","Free Interac E-Transfer ","Debit","-30.16","18637.80"
"","2025-12-02","withdrawal","Free Interac E-Transfer ","Debit","-30.16","18667.96"
"","2025-12-01","deposit","Free Interac E-Transfer ","Credit","1000.00","18698.12"
"","2025-12-01","withdrawal","Free Interac E-Transfer ","Debit","-3000.00","17698.12"
"","2025-11-29","withdrawal","Free Interac E-Transfer ","Debit","-31.15","20698.12"
"","2025-11-28","payroll deposit","Marvell Semiconductor ","Credit","2115.63","20729.27"
"","2025-11-24","withdrawal","Free Interac E-Transfer ","Debit","-29.91","18613.64"
"","2025-11-24","bill payment","Mb-Td Visa 57689943","Debit","-1000.00","18643.55"